Wall time,Step,Value
1762898420.33558,22514,0.0
1762898421.33558,22515,0.0
1762898422.33558,22516,0.0
1762898423.33558,22517,0.0
1762898424.33558,22518,0.0
1762898425.33558,22519,0.0
1762898426.33558,22520,0.0
1762898427.33558,22521,0.0
1762898428.33558,22522,0.0
1762898429.33558,22523,0.0
1762898430.33558,22524,0.0
1762898431.33558,22525,0.0
1762898432.33558,22526,0.0
1762898433.33558,22527,0.0
1762898434.33558,22528,0.0
1762898435.33558,22529,0.0
1762898436.33558,22530,0.0
1762898437.33558,22531,0.0
1762898438.33558,22532,0.0
1762898439.33558,22533,0.0
1762898440.33558,22534,0.0
1762898441.33558,22535,0.0
1762898442.33558,22536,0.0
1762898443.33558,22537,0.0
1762898444.33558,22538,0.0
1762898445.33558,22539,0.0
1762898446.33558,22540,0.0
1762898447.33558,22541,0.0
1762898448.33558,22542,0.0
1762898449.33558,22543,0.0
1762898450.33558,22544,0.0
1762898451.33558,22545,0.0
1762898452.33558,22546,0.0
1762898453.33558,22547,0.0
1762898454.33558,22548,0.0
1762898455.33558,22549,0.0
1762898456.33558,22550,0.0
1762898457.33558,22551,0.0
1762898458.33558,22552,0.0
1762898459.33558,22553,0.0
1762898460.33558,22554,0.0
1762898461.33558,22555,0.0
1762898462.33558,22556,0.0
1762898463.33558,22557,0.0
1762898464.33558,22558,0.0
1762898465.33558,22559,0.0
1762898466.33558,22560,0.0
1762898467.33558,22561,0.0
1762898468.33558,22562,0.0
1762898469.33558,22563,0.0
1762898470.33558,22564,0.0
1762898471.33558,22565,0.0
1762898472.33558,22566,0.0
1762898473.33558,22567,0.0
1762898474.33558,22568,0.0
1762898475.33558,22569,0.0
1762898476.33558,22570,0.0
1762898477.33558,22571,0.0
1762898478.33558,22572,0.0
1762898479.33558,22573,0.0
1762898480.33558,22574,0.0
1762898481.33558,22575,0.0
1762898482.33558,22576,0.0
1762898483.33558,22577,0.0
1762898484.33558,22578,0.0
1762898485.33558,22579,0.0
1762898486.33558,22580,0.0
1762898487.33558,22581,0.0
1762898488.33558,22582,0.0
1762898489.33558,22583,0.0
1762898490.33558,22584,0.0
1762898491.33558,22585,0.0
1762898492.33558,22586,0.0
1762898493.33558,22587,0.0
1762898494.33558,22588,0.0
1762898495.33558,22589,0.0
1762898496.33558,22590,0.0
1762898497.33558,22591,0.0
1762898498.33558,22592,0.0
1762898499.33558,22593,0.0
1762898500.33558,22594,0.0
1762898501.33558,22595,0.0
1762898502.33558,22596,0.0
1762898503.33558,22597,0.0
1762898504.33558,22598,0.0
1762898505.33558,22599,0.0
1762898506.33558,22600,0.0
1762898507.33558,22601,0.0
1762898508.33558,22602,0.0
1762898509.33558,22603,0.0
1762898510.33558,22604,0.0
1762898511.33558,22605,0.0
1762898512.33558,22606,0.0
1762898513.33558,22607,0.0
1762898514.33558,22608,0.0
1762898515.33558,22609,0.0
1762898516.33558,22610,0.0
1762898517.33558,22611,0.0
1762898518.33558,22612,0.0
1762898519.33558,22613,0.0
1762898520.33558,22614,0.0
1762898521.33558,22615,0.0
1762898522.33558,22616,0.0
1762898523.33558,22617,0.0
1762898524.33558,22618,0.0
1762898525.33558,22619,0.0
1762898526.33558,22620,0.0
1762898527.33558,22621,0.0
1762898528.33558,22622,0.0
1762898529.33558,22623,0.0
1762898530.33558,22624,0.0
1762898531.33558,22625,0.0
1762898532.33558,22626,0.0
1762898533.33558,22627,0.0
1762898534.33558,22628,0.0
1762898535.33558,22629,0.0
1762898536.33558,22630,0.0
1762898537.33558,22631,0.0
1762898538.33558,22632,0.0
1762898539.33558,22633,0.0
1762898540.33558,22634,0.0
1762898541.33558,22635,0.0
1762898542.33558,22636,0.0
1762898543.33558,22637,0.0
1762898544.33558,22638,0.0
1762898545.33558,22639,0.0
1762898546.33558,22640,0.0
1762898547.33558,22641,0.0
1762898548.33558,22642,0.0
1762898549.33558,22643,0.0
1762898550.33558,22644,0.0
1762898551.33558,22645,0.0
1762898552.33558,22646,0.0
1762898553.33558,22647,0.0
1762898554.33558,22648,0.0
1762898555.33558,22649,0.0
1762898556.33558,22650,0.0
1762898557.33558,22651,0.0
1762898558.33558,22652,0.0
1762898559.33558,22653,0.0
1762898560.33558,22654,0.0
1762898561.33558,22655,0.0
1762898562.33558,22656,0.0
1762898563.33558,22657,0.0
1762898564.33558,22658,0.0
1762898565.33558,22659,0.0
1762898566.33558,22660,0.0
1762898567.33558,22661,0.0
1762898568.33558,22662,0.0
1762898569.33558,22663,0.0
1762898570.33558,22664,0.0
1762898571.33558,22665,0.0
1762898572.33558,22666,0.0
1762898573.33558,22667,0.0
1762898574.33558,22668,0.0
1762898575.33558,22669,0.0
1762898576.33558,22670,0.0
1762898577.33558,22671,0.0
1762898578.33558,22672,0.0
1762898579.33558,22673,0.0
1762898580.33558,22674,0.0
1762898581.33558,22675,0.0
1762898582.33558,22676,0.0
1762898583.33558,22677,0.0
1762898584.33558,22678,0.0
1762898585.33558,22679,0.0
1762898586.33558,22680,0.0
1762898587.33558,22681,0.0
1762898588.33558,22682,0.0
1762898589.33558,22683,0.0
1762898590.33558,22684,0.0
1762898591.33558,22685,0.0
1762898592.33558,22686,0.0
1762898593.33558,22687,0.0
1762898594.33558,22688,0.0
1762898595.33558,22689,0.0
1762898596.33558,22690,0.0
1762898597.33558,22691,0.0
1762898598.33558,22692,0.0
1762898599.33558,22693,0.0
1762898600.33558,22694,0.0
1762898601.33558,22695,0.0
1762898602.33558,22696,0.0
1762898603.33558,22697,0.0
1762898604.33558,22698,0.0
1762898605.33558,22699,0.0
1762898606.33558,22700,0.0
1762898607.33558,22701,0.0
1762898608.33558,22702,0.0
1762898609.33558,22703,0.0
1762898610.33558,22704,0.0
1762898611.33558,22705,0.0
1762898612.33558,22706,0.0
1762898613.33558,22707,0.0
1762898614.33558,22708,0.0
1762898615.33558,22709,0.0
1762898616.33558,22710,0.0
1762898617.33558,22711,0.0
1762898618.33558,22712,0.0
1762898619.33558,22713,0.0
1762898620.33558,22714,0.0
1762898621.33558,22715,0.0
1762898622.33558,22716,0.0
1762898623.33558,22717,0.0
1762898624.33558,22718,0.0
1762898625.33558,22719,0.0
1762898626.33558,22720,0.0
1762898627.33558,22721,0.0
1762898628.33558,22722,0.0
1762898629.33558,22723,0.0
1762898630.33558,22724,0.0
1762898631.33558,22725,0.0
1762898632.33558,22726,0.0
1762898633.33558,22727,0.0
1762898634.33558,22728,0.0
1762898635.33558,22729,0.0
1762898636.33558,22730,0.0
1762898637.33558,22731,0.0
1762898638.33558,22732,0.0
1762898639.33558,22733,0.0
1762898640.33558,22734,0.0
1762898641.33558,22735,0.0
1762898642.33558,22736,0.0
1762898643.33558,22737,0.0
1762898644.33558,22738,0.0
1762898645.33558,22739,0.0
1762898646.33558,22740,0.0
1762898647.33558,22741,0.0
1762898648.33558,22742,0.0
1762898649.33558,22743,0.0
1762898650.33558,22744,0.0
1762898651.33558,22745,0.0
1762898652.33558,22746,0.0
1762898653.33558,22747,0.0
1762898654.33558,22748,0.0
1762898655.33558,22749,0.0
1762898656.33558,22750,0.0
1762898657.33558,22751,0.0
1762898658.33558,22752,0.0
1762898659.33558,22753,0.0
1762898660.33558,22754,0.0
1762898661.33558,22755,0.0
1762898662.33558,22756,0.0
1762898663.33558,22757,0.0
1762898664.33558,22758,0.0
1762898665.33558,22759,0.0
1762898666.33558,22760,0.0
1762898667.33558,22761,0.0
1762898668.33558,22762,0.0
1762898669.33558,22763,0.0
1762898670.33558,22764,0.0
1762898671.33558,22765,0.0
1762898672.33558,22766,0.0
1762898673.33558,22767,0.0
1762898674.33558,22768,0.0
1762898675.33558,22769,0.0
1762898676.33558,22770,0.0
1762898677.33558,22771,0.0
1762898678.33558,22772,0.0
1762898679.33558,22773,0.0
1762898680.33558,22774,0.0
1762898681.33558,22775,0.0
1762898682.33558,22776,0.0
1762898683.33558,22777,0.0
1762898684.33558,22778,0.0
1762898685.33558,22779,0.0
1762898686.33558,22780,0.0
1762898687.33558,22781,0.0
1762898688.33558,22782,0.0
1762898689.33558,22783,0.0
1762898690.33558,22784,0.0
1762898691.33558,22785,0.0
1762898692.33558,22786,0.0
1762898693.33558,22787,0.0
1762898694.33558,22788,0.0
1762898695.33558,22789,0.0
1762898696.33558,22790,0.0
1762898697.33558,22791,0.0
1762898698.33558,22792,0.0
1762898699.33558,22793,0.0
1762898700.33558,22794,0.0
1762898701.33558,22795,0.0
1762898702.33558,22796,0.0
1762898703.33558,22797,0.0
1762898704.33558,22798,0.0
1762898705.33558,22799,0.0
1762898706.33558,22800,0.0
1762898707.33558,22801,0.0
1762898708.33558,22802,0.0
1762898709.33558,22803,0.0
1762898710.33558,22804,0.0
1762898711.33558,22805,0.0
1762898712.33558,22806,0.0
1762898713.33558,22807,0.0
1762898714.33558,22808,0.0
1762898715.33558,22809,0.0
1762898716.33558,22810,0.0
1762898717.33558,22811,0.0
1762898718.33558,22812,0.0
1762898719.33558,22813,0.0
1762898720.33558,22814,0.0
1762898721.33558,22815,0.0
1762898722.33558,22816,0.0
1762898723.33558,22817,0.0
1762898724.33558,22818,0.0
1762898725.33558,22819,0.0
1762898726.33558,22820,0.0
1762898727.33558,22821,0.0
1762898728.33558,22822,0.0
1762898729.33558,22823,0.0
1762898730.33558,22824,0.0
1762898731.33558,22825,0.0
1762898732.33558,22826,0.0
1762898733.33558,22827,0.0
1762898734.33558,22828,0.0
1762898735.33558,22829,0.0
1762898736.33558,22830,0.0
1762898737.33558,22831,0.0
1762898738.33558,22832,0.0
1762898739.33558,22833,0.0
1762898740.33558,22834,0.0
1762898741.33558,22835,0.0
1762898742.33558,22836,0.0
1762898743.33558,22837,0.0
1762898744.33558,22838,0.0
1762898745.33558,22839,0.0
1762898746.33558,22840,0.0
1762898747.33558,22841,0.0
1762898748.33558,22842,0.0
1762898749.33558,22843,0.0
1762898750.33558,22844,0.0
1762898751.33558,22845,0.0
1762898752.33558,22846,0.0
1762898753.33558,22847,0.0
1762898754.33558,22848,0.0
1762898755.33558,22849,0.0
1762898756.33558,22850,0.0
1762898757.33558,22851,0.0
1762898758.33558,22852,0.0
1762898759.33558,22853,0.0
1762898760.33558,22854,0.0
1762898761.33558,22855,0.0
1762898762.33558,22856,0.0
1762898763.33558,22857,0.0
1762898764.33558,22858,0.0
1762898765.33558,22859,0.0
1762898766.33558,22860,0.0
1762898767.33558,22861,0.0
1762898768.33558,22862,0.0
1762898769.33558,22863,0.0
1762898770.33558,22864,0.0
1762898771.33558,22865,0.0
1762898772.33558,22866,0.0
1762898773.33558,22867,0.0
1762898774.33558,22868,0.0
1762898775.33558,22869,0.0
1762898776.33558,22870,0.0
1762898777.33558,22871,0.0
1762898778.33558,22872,0.0
1762898779.33558,22873,0.0
1762898780.33558,22874,0.0
1762898781.33558,22875,0.0
1762898782.33558,22876,0.0
1762898783.33558,22877,0.0
1762898784.33558,22878,0.0
1762898785.33558,22879,0.0
1762898786.33558,22880,0.0
1762898787.33558,22881,0.0
1762898788.33558,22882,0.0
1762898789.33558,22883,0.0
1762898790.33558,22884,0.0
1762898791.33558,22885,0.0
1762898792.33558,22886,0.0
1762898793.33558,22887,0.0
1762898794.33558,22888,0.0
1762898795.33558,22889,0.0
